AREA_TITLE;OCC_CODE;OCC_TITLE;H_MEAN;A_MEAN
Kentucky;11-3131;Training and Development Managers;47.11;97,980
Kentucky;11-9013;Farmers, Ranchers, and Other Agricultural Managers;34.29;71,330
Kentucky;11-9021;Construction Managers;50.36;104,750
Kentucky;11-9031;Education and Childcare Administrators, Preschool and Daycare;21.58;44,880
Kentucky;11-9032;Education Administrators, Kindergarten through Secondary;*;93,520
Kentucky;11-9033;Education Administrators, Postsecondary;56.98;118,510
Kentucky;11-9039;Education Administrators, All Other;43.23;89,920
Kentucky;11-9041;Architectural and Engineering Managers;65.97;137,220
Kentucky;11-9051;Food Service Managers;30.28;62,980
Kentucky;11-9072;Entertainment and Recreation Managers, Except Gambling;29.15;60,640
Kentucky;11-9081;Lodging Managers;28.23;58,720
Kentucky;11-9111;Medical and Health Services Managers;52.71;109,640
Kentucky;11-9121;Natural Sciences Managers;58.93;122,570
Kentucky;11-9131;Postmasters and Mail Superintendents;44.59;92,750
Kentucky;11-9141;Property, Real Estate, and Community Association Managers;25.87;53,810
Kentucky;11-9151;Social and Community Service Managers;32.74;68,110
Kentucky;11-9161;Emergency Management Directors;36.27;75,440
Kentucky;11-9171;Funeral Home Managers;27.64;57,500
Kentucky;11-9179;Personal Service Managers, All Other;30.13;62,680
Kentucky;11-9199;Managers, All Other;57.88;120,390
Kentucky;13-0000;Business and Financial Operations Occupations;35.27;73,360
Kentucky;13-1011;Agents and Business Managers of Artists, Performers, and Athletes;*;*
Kentucky;13-1020;Buyers and Purchasing Agents;32.49;67,570
Kentucky;13-1031;Claims Adjusters, Examiners, and Investigators;34.04;70,790
Kentucky;13-1032;Insurance Appraisers, Auto Damage;35.57;73,980
Kentucky;13-1041;Compliance Officers;32.68;67,970
Kentucky;13-1051;Cost Estimators;33.88;70,460
Kentucky;13-1071;Human Resources Specialists;31.81;66,160
Kentucky;13-1075;Labor Relations Specialists;26.46;55,030
Kentucky;13-1081;Logisticians;34.62;72,010
Kentucky;13-1082;Project Management Specialists;42.19;87,760
Kentucky;13-1111;Management Analysts;43.39;90,240
Kentucky;13-1121;Meeting, Convention, and Event Planners;23.65;49,190
Kentucky;13-1131;Fundraisers;27.92;58,080
Kentucky;13-1141;Compensation, Benefits, and Job Analysis Specialists;28.82;59,940
Kentucky;13-1151;Training and Development Specialists;29.49;61,340
Kentucky;13-1161;Market Research Analysts and Marketing Specialists;31.06;64,600
Kentucky;13-1199;Business Operations Specialists, All Other;36.46;75,850
Kentucky;13-2011;Accountants and Auditors;35.93;74,730
Kentucky;13-2020;Property Appraisers and Assessors;23.83;49,570
Kentucky;13-2031;Budget Analysts;35.20;73,220
Kentucky;13-2041;Credit Analysts;39.52;82,210
Kentucky;13-2051;Financial and Investment Analysts;35.74;74,340
Kentucky;13-2052;Personal Financial Advisors;64.17;133,470
Kentucky;13-2053;Insurance Underwriters;37.86;78,740
Kentucky;13-2054;Financial Risk Specialists;41.68;86,690
Kentucky;13-2061;Financial Examiners;38.16;79,370
Kentucky;13-2071;Credit Counselors;22.12;46,010
Kentucky;13-2072;Loan Officers;34.41;71,580
Kentucky;13-2081;Tax Examiners and Collectors, and Revenue Agents;26.31;54,730
Kentucky;13-2082;Tax Preparers;21.40;44,520
Kentucky;13-2099;Financial Specialists, All Other;31.64;65,820
Kentucky;15-0000;Computer and Mathematical Occupations;40.77;84,790
Kentucky;15-1211;Computer Systems Analysts;39.92;83,040
Kentucky;15-1212;Information Security Analysts;46.55;96,810
Kentucky;15-1221;Computer and Information Research Scientists;51.58;107,290
Kentucky;15-1231;Computer Network Support Specialists;33.33;69,320
Kentucky;15-1232;Computer User Support Specialists;26.44;54,980
Kentucky;15-1241;Computer Network Architects;52.42;109,030
Kentucky;15-1242;Database Administrators;40.18;83,570
Kentucky;15-1243;Database Architects;47.72;99,270
Kentucky;15-1244;Network and Computer Systems Administrators;40.31;83,840
Kentucky;15-1251;Computer Programmers;46.85;97,450
Kentucky;15-1252;Software Developers;50.99;106,070
Kentucky;15-1253;Software Quality Assurance Analysts and Testers;36.12;75,120
Kentucky;15-1254;Web Developers;36.38;75,670
Kentucky;15-1255;Web and Digital Interface Designers;45.72;95,110
Kentucky;15-1299;Computer Occupations, All Other;43.15;89,750
Kentucky;15-2011;Actuaries;59.50;123,760
Kentucky;15-2031;Operations Research Analysts;39.41;81,970
Kentucky;15-2041;Statisticians;48.18;100,220
Kentucky;15-2051;Data Scientists;46.29;96,290
Kentucky;15-2099;Mathematical Science Occupations, All Other;24.33;50,610
Kentucky;17-0000;Architecture and Engineering Occupations;39.06;81,240
Kentucky;17-1011;Architects, Except Landscape and Naval;44.72;93,020
Kentucky;17-1012;Landscape Architects;36.80;76,540
Kentucky;17-1021;Cartographers and Photogrammetrists;31.53;65,580
Kentucky;17-1022;Surveyors;27.12;56,410
Kentucky;17-2011;Aerospace Engineers;55.75;115,960
Kentucky;17-2031;Bioengineers and Biomedical Engineers;48.11;100,080
Kentucky;17-2041;Chemical Engineers;53.08;110,400
Kentucky;17-2051;Civil Engineers;45.14;93,880
Kentucky;17-2071;Electrical Engineers;42.22;87,810
Kentucky;17-2072;Electronics Engineers, Except Computer;46.02;95,730
Kentucky;17-2081;Environmental Engineers;49.38;102,700
Kentucky;17-2111;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;43.12;89,680
Kentucky;17-2112;Industrial Engineers;43.76;91,010
Kentucky;17-2121;Marine Engineers and Naval Architects;56.90;118,350
Kentucky;17-2131;Materials Engineers;46.99;97,740
Kentucky;17-2141;Mechanical Engineers;47.55;98,900
Kentucky;17-2151;Mining and Geological Engineers, Including Mining Safety Engineers;48.44;100,760
Kentucky;17-2161;Nuclear Engineers;*;*
Kentucky;17-2199;Engineers, All Other;42.69;88,790
Kentucky;17-3011;Architectural and Civil Drafters;27.43;57,050
Kentucky;17-3012;Electrical and Electronics Drafters;29.25;60,850
Kentucky;17-3013;Mechanical Drafters;33.69;70,070
Kentucky;17-3019;Drafters, All Other;23.14;48,130
Kentucky;17-3022;Civil Engineering Technologists and Technicians;22.63;47,070
Kentucky;17-3023;Electrical and Electronic Engineering Technologists and Technicians;32.64;67,890
Kentucky;17-3024;Electro-Mechanical and Mechatronics Technologists and Technicians;29.25;60,850
Kentucky;17-3025;Environmental Engineering Technologists and Technicians;26.95;56,060
Kentucky;17-3026;Industrial Engineering Technologists and Technicians;29.67;61,710
Kentucky;17-3027;Mechanical Engineering Technologists and Technicians;32.59;67,780
Kentucky;17-3028;Calibration Technologists and Technicians;32.99;68,630
Kentucky;17-3029;Engineering Technologists and Technicians, Except Drafters, All Other;27.69;57,580
Kentucky;17-3031;Surveying and Mapping Technicians;23.95;49,820
Kentucky;19-0000;Life, Physical, and Social Science Occupations;33.57;69,820
Kentucky;19-1012;Food Scientists and Technologists;34.80;72,380
Kentucky;19-1013;Soil and Plant Scientists;30.80;64,060
Kentucky;19-1021;Biochemists and Biophysicists;45.15;93,900
Kentucky;19-1022;Microbiologists;30.71;63,870
Kentucky;19-1023;Zoologists and Wildlife Biologists;27.03;56,210
Kentucky;19-1029;Biological Scientists, All Other;35.52;73,870
Kentucky;19-1031;Conservation Scientists;31.78;66,100
Kentucky;19-1032;Foresters;26.57;55,270
Kentucky;19-1041;Epidemiologists;28.38;59,030
Kentucky;19-1042;Medical Scientists, Except Epidemiologists;41.06;85,390
Kentucky;19-1099;Life Scientists, All Other;33.49;69,650
Kentucky;19-2012;Physicists;63.04;131,130
Kentucky;19-2021;Atmospheric and Space Scientists;37.39;77,780
Kentucky;19-2031;Chemists;39.47;82,110
Kentucky;19-2041;Environmental Scientists and Specialists, Including Health;29.71;61,800
Kentucky;19-2042;Geoscientists, Except Hydrologists and Geographers;34.15;71,040
Kentucky;19-2099;Physical Scientists, All Other;36.05;74,990
Kentucky;19-3011;Economists;39.43;82,000
Kentucky;19-3022;Survey Researchers;36.51;75,930
Kentucky;19-3033;Clinical and Counseling Psychologists;50.55;105,140
Kentucky;19-3034;School Psychologists;34.85;72,480
Kentucky;19-3039;Psychologists, All Other;53.15;110,560
Kentucky;19-3051;Urban and Regional Planners;29.52;61,400
Kentucky;19-3091;Anthropologists and Archeologists;30.27;62,970
Kentucky;19-3093;Historians;26.72;55,580
Kentucky;19-3099;Social Scientists and Related Workers, All Other;35.56;73,960
Kentucky;19-4012;Agricultural Technicians;22.80;47,420
Kentucky;19-4013;Food Science Technicians;25.41;52,860
Kentucky;19-4021;Biological Technicians;20.15;41,920
Kentucky;19-4031;Chemical Technicians;26.48;55,070
Kentucky;19-4042;Environmental Science and Protection Technicians, Including Health;27.40;57,000
Kentucky;19-4043;Geological Technicians, Except Hydrologic Technicians;29.74;61,870
Kentucky;19-4061;Social Science Research Assistants;33.24;69,140
Kentucky;19-4071;Forest and Conservation Technicians;20.49;42,630
Kentucky;19-4092;Forensic Science Technicians;25.98;54,030
Kentucky;19-4099;Life, Physical, and Social Science Technicians, All Other;27.83;57,880
Kentucky;19-5011;Occupational Health and Safety Specialists;35.82;74,510
Kentucky;19-5012;Occupational Health and Safety Technicians;30.79;64,040
Kentucky;21-0000;Community and Social Service Occupations;24.15;50,230
Kentucky;21-1012;Educational, Guidance, and Career Counselors and Advisors;28.52;59,320
Kentucky;21-1013;Marriage and Family Therapists;26.77;55,690
Kentucky;21-1015;Rehabilitation Counselors;21.01;43,710
Kentucky;21-1018;Substance Abuse, Behavioral Disorder, and Mental Health Counselors;25.81;53,690
Kentucky;21-1019;Counselors, All Other;25.18;52,370
Kentucky;21-1021;Child, Family, and School Social Workers;22.30;46,390
Kentucky;21-1022;Healthcare Social Workers;29.83;62,040
Kentucky;21-1023;Mental Health and Substance Abuse Social Workers;23.71;49,310
Kentucky;21-1029;Social Workers, All Other;30.13;62,670
Kentucky;21-1091;Health Education Specialists;28.57;59,430
Kentucky;21-1092;Probation Officers and Correctional Treatment Specialists;19.84;41,270
Kentucky;21-1093;Social and Human Service Assistants;18.29;38,050
Kentucky;21-1094;Community Health Workers;23.82;49,550
Kentucky;21-1099;Community and Social Service Specialists, All Other;20.83;43,330
Kentucky;21-2011;Clergy;26.21;54,510
Kentucky;21-2021;Directors, Religious Activities and Education;25.13;52,270
Kentucky;21-2099;Religious Workers, All Other;18.14;37,740
Kentucky;23-0000;Legal Occupations;44.45;92,460
Kentucky;23-1011;Lawyers;54.28;112,900
Kentucky;23-1012;Judicial Law Clerks;20.04;41,690
Kentucky;23-1021;Administrative Law Judges, Adjudicators, and Hearing Officers;31.21;64,930
Kentucky;23-1023;Judges, Magistrate Judges, and Magistrates;62.18;129,330
Kentucky;23-2011;Paralegals and Legal Assistants;25.92;53,910
Kentucky;23-2093;Title Examiners, Abstractors, and Searchers;24.66;51,300
Kentucky;23-2099;Legal Support Workers, All Other;26.64;55,420
Kentucky;25-0000;Educational Instruction and Library Occupations;27.14;56,440
Kentucky;25-1011;Business Teachers, Postsecondary;*;96,730
Kentucky;25-1021;Computer Science Teachers, Postsecondary;*;89,600
Kentucky;25-1022;Mathematical Science Teachers, Postsecondary;*;76,190
Kentucky;25-1032;Engineering Teachers, Postsecondary;*;120,330
Kentucky;25-1041;Agricultural Sciences Teachers, Postsecondary;*;91,840
Kentucky;25-1042;Biological Science Teachers, Postsecondary;*;82,290
Kentucky;25-1052;Chemistry Teachers, Postsecondary;*;100,430
Kentucky;25-1053;Environmental Science Teachers, Postsecondary;*;110,130
Kentucky;25-1054;Physics Teachers, Postsecondary;*;91,560
Kentucky;25-1061;Anthropology and Archeology Teachers, Postsecondary;*;104,730
Kentucky;25-1062;Area, Ethnic, and Cultural Studies Teachers, Postsecondary;*;78,420
Kentucky;25-1063;Economics Teachers, Postsecondary;*;125,810
Kentucky;25-1064;Geography Teachers, Postsecondary;*;87,240
Kentucky;25-1065;Political Science Teachers, Postsecondary;*;98,590
Kentucky;25-1066;Psychology Teachers, Postsecondary;*;80,820
Kentucky;25-1067;Sociology Teachers, Postsecondary;*;86,000
Kentucky;25-1069;Social Sciences Teachers, Postsecondary, All Other;*;76,510
Kentucky;25-1071;Health Specialties Teachers, Postsecondary;*;112,850
Kentucky;25-1072;Nursing Instructors and Teachers, Postsecondary;*;79,370
Kentucky;25-1081;Education Teachers, Postsecondary;*;71,550
Kentucky;25-1082;Library Science Teachers, Postsecondary;*;65,310
Kentucky;25-1111;Criminal Justice and Law Enforcement Teachers, Postsecondary;*;67,060
Kentucky;25-1112;Law Teachers, Postsecondary;*;115,570
Kentucky;25-1113;Social Work Teachers, Postsecondary;*;68,710
Kentucky;25-1121;Art, Drama, and Music Teachers, Postsecondary;*;68,630
Kentucky;25-1122;Communications Teachers, Postsecondary;*;70,010
Kentucky;25-1123;English Language and Literature Teachers, Postsecondary;*;70,610
Kentucky;25-1124;Foreign Language and Literature Teachers, Postsecondary;*;75,190
Kentucky;25-1125;History Teachers, Postsecondary;*;82,900
Kentucky;25-1126;Philosophy and Religion Teachers, Postsecondary;*;79,370
Kentucky;25-1192;Family and Consumer Sciences Teachers, Postsecondary;*;68,940
Kentucky;25-1193;Recreation and Fitness Studies Teachers, Postsecondary;*;69,620
Kentucky;25-1194;Career/Technical Education Teachers, Postsecondary;23.93;49,780
Kentucky;25-1199;Postsecondary Teachers, All Other;*;78,410
Kentucky;25-2011;Preschool Teachers, Except Special Education;19.00;39,520
Kentucky;25-2012;Kindergarten Teachers, Except Special Education;*;57,770
Kentucky;25-2021;Elementary School Teachers, Except Special Education;*;57,370
Kentucky;25-2022;Middle School Teachers, Except Special and Career/Technical Education;*;58,060
Kentucky;25-2031;Secondary School Teachers, Except Special and Career/Technical Education;*;60,460
Kentucky;25-2032;Career/Technical Education Teachers, Secondary School;*;61,600
Kentucky;25-2052;Special Education Teachers, Kindergarten and Elementary School;*;56,690
Kentucky;25-2057;Special Education Teachers, Middle School;*;56,290
Kentucky;25-2058;Special Education Teachers, Secondary School;*;57,990
Kentucky;25-2059;Special Education Teachers, All Other;*;63,430
Kentucky;25-3011;Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors;21.37;44,460
Kentucky;25-3021;Self-Enrichment Teachers;19.79;41,170
Kentucky;25-3031;Substitute Teachers, Short-Term;15.02;31,250
Kentucky;25-3041;Tutors;16.78;34,900
Kentucky;25-3099;Teachers and Instructors, All Other;*;54,560
Kentucky;25-4011;Archivists;20.62;42,880
Kentucky;25-4012;Curators;24.42;50,790
Kentucky;25-4013;Museum Technicians and Conservators;17.24;35,850
Kentucky;25-4022;Librarians and Media Collections Specialists;29.73;61,830
Kentucky;25-4031;Library Technicians;16.60;34,530
Kentucky;25-9021;Farm and Home Management Educators;28.39;59,050
Kentucky;25-9031;Instructional Coordinators;31.90;66,350
Kentucky;25-9044;Teaching Assistants, Postsecondary;*;44,610
Kentucky;25-9045;Teaching Assistants, Except Postsecondary;*;30,730
Kentucky;25-9099;Educational Instruction and Library Workers, All Other;24.82;51,620
Kentucky;27-0000;Arts, Design, Entertainment, Sports, and Media Occupations;25.81;53,680
Kentucky;27-1011;Art Directors;37.31;77,600
Kentucky;27-1012;Craft Artists;17.55;36,510
Kentucky;27-1013;Fine Artists, Including Painters, Sculptors, and Illustrators;16.89;35,140
Kentucky;27-1019;Artists and Related Workers, All Other;25.72;53,510
Kentucky;27-1021;Commercial and Industrial Designers;35.03;72,860
Kentucky;27-1022;Fashion Designers;23.86;49,620
Kentucky;27-1023;Floral Designers;14.82;30,820
Kentucky;27-1024;Graphic Designers;25.22;52,450
Kentucky;27-1025;Interior Designers;32.65;67,920
Kentucky;27-1026;Merchandise Displayers and Window Trimmers;17.38;36,140
Kentucky;27-1027;Set and Exhibit Designers;21.27;44,250
Kentucky;27-1029;Designers, All Other;27.11;56,380
Kentucky;27-2011;Actors;*;*
Kentucky;27-2012;Producers and Directors;29.12;60,570
Kentucky;27-2021;Athletes and Sports Competitors;*;44,850
Kentucky;27-2022;Coaches and Scouts;*;61,190
Kentucky;27-2023;Umpires, Referees, and Other Sports Officials;*;53,950
Kentucky;27-2041;Music Directors and Composers;21.98;45,710
Kentucky;27-2042;Musicians and Singers;*;*
Kentucky;27-2091;Disc Jockeys, Except Radio;17.86;*
Kentucky;27-2099;Entertainers and Performers, Sports and Related Workers, All Other;25.19;*
Kentucky;27-3011;Broadcast Announcers and Radio Disc Jockeys;16.84;35,030
Kentucky;27-3023;News Analysts, Reporters, and Journalists;24.09;50,110
Kentucky;27-3031;Public Relations Specialists;32.13;66,840
Kentucky;27-3041;Editors;31.24;64,980
Kentucky;27-3042;Technical Writers;38.06;79,160
Kentucky;27-3043;Writers and Authors;28.92;60,160
Kentucky;27-3091;Interpreters and Translators;26.32;54,740
Kentucky;27-3092;Court Reporters and Simultaneous Captioners;22.72;47,260
Kentucky;27-3099;Media and Communication Workers, All Other;19.82;41,220
Kentucky;27-4011;Audio and Video Technicians;20.35;42,340
Kentucky;27-4012;Broadcast Technicians;28.86;60,020
Kentucky;27-4014;Sound Engineering Technicians;*;*
Kentucky;27-4021;Photographers;17.83;37,090
Kentucky;27-4031;Camera Operators, Television, Video, and Film;23.12;48,090
Kentucky;27-4032;Film and Video Editors;20.41;42,450
Kentucky;27-4099;Media and Communication Equipment Workers, All Other;27.13;56,440
Kentucky;29-0000;Healthcare Practitioners and Technical Occupations;42.57;88,540
Kentucky;29-1011;Chiropractors;39.44;82,040
Kentucky;29-1021;Dentists, General;89.66;186,480
Kentucky;29-1022;Oral and Maxillofacial Surgeons;135.12;281,040
Kentucky;29-1029;Dentists, All Other Specialists;80.99;168,460
Kentucky;29-1031;Dietitians and Nutritionists;31.03;64,550
Kentucky;29-1041;Optometrists;77.55;161,300
Kentucky;29-1051;Pharmacists;62.99;131,020
Kentucky;29-1071;Physician Assistants;47.74;99,290
Kentucky;29-1122;Occupational Therapists;41.76;86,860
Kentucky;29-1123;Physical Therapists;42.06;87,480
Kentucky;29-1124;Radiation Therapists;46.02;95,720
Kentucky;29-1125;Recreational Therapists;23.58;49,050
Kentucky;29-1126;Respiratory Therapists;31.41;65,330
Kentucky;29-1127;Speech-Language Pathologists;40.05;83,310
Kentucky;29-1128;Exercise Physiologists;24.04;50,000
Kentucky;29-1129;Therapists, All Other;45.07;93,740
Kentucky;29-1131;Veterinarians;50.18;104,380
Kentucky;29-1141;Registered Nurses;39.31;81,770
Kentucky;29-1151;Nurse Anesthetists;89.25;185,630
Kentucky;29-1171;Nurse Practitioners;53.06;110,370
Kentucky;29-1181;Audiologists;36.72;76,370
Kentucky;29-1211;Anesthesiologists;140.57;292,390
Kentucky;29-1212;Cardiologists;*;*
Kentucky;29-1213;Dermatologists;*;*
Kentucky;29-1214;Emergency Medicine Physicians;133.35;277,370
Kentucky;29-1215;Family Medicine Physicians;135.64;282,140
Kentucky;29-1216;General Internal Medicine Physicians;136.15;283,180
Kentucky;29-1217;Neurologists;#;#
Kentucky;29-1218;Obstetricians and Gynecologists;159.19;331,120
Kentucky;29-1221;Pediatricians, General;109.48;227,730
Kentucky;29-1222;Physicians, Pathologists;181.22;376,940
Kentucky;29-1223;Psychiatrists;105.84;220,150
Kentucky;29-1229;Physicians, All Other;152.28;316,730
Kentucky;29-1241;Ophthalmologists, Except Pediatric;87.31;181,610
Kentucky;29-1242;Orthopedic Surgeons, Except Pediatric;*;*
Kentucky;29-1249;Surgeons, All Other;*;*
Kentucky;29-1291;Acupuncturists;35.58;74,000
Kentucky;29-1292;Dental Hygienists;35.51;73,850
Kentucky;29-1299;Healthcare Diagnosing or Treating Practitioners, All Other;43.59;90,660
Kentucky;29-2010;Clinical Laboratory Technologists and Technicians;27.32;56,820
Kentucky;29-2031;Cardiovascular Technologists and Technicians;28.21;58,680
Kentucky;29-2032;Diagnostic Medical Sonographers;35.87;74,610
Kentucky;29-2033;Nuclear Medicine Technologists;41.43;86,170
Kentucky;29-2034;Radiologic Technologists and Technicians;30.54;63,520
Kentucky;29-2035;Magnetic Resonance Imaging Technologists;36.51;75,940
Kentucky;29-2036;Medical Dosimetrists;41.48;86,280
Kentucky;29-2042;Emergency Medical Technicians;18.36;38,200
Kentucky;29-2043;Paramedics;24.29;50,520
Kentucky;29-2051;Dietetic Technicians;15.45;32,130
Kentucky;29-2052;Pharmacy Technicians;18.54;38,570
Kentucky;29-2053;Psychiatric Technicians;17.89;37,210
Kentucky;29-2055;Surgical Technologists;25.21;52,440
Kentucky;29-2056;Veterinary Technologists and Technicians;17.01;35,370
Kentucky;29-2057;Ophthalmic Medical Technicians;18.39;38,250
Kentucky;29-2061;Licensed Practical and Licensed Vocational Nurses;26.49;55,100
Kentucky;29-2072;Medical Records Specialists;22.52;46,840
Kentucky;29-2081;Opticians, Dispensing;21.14;43,960
Kentucky;29-2091;Orthotists and Prosthetists;45.62;94,890
Kentucky;29-2092;Hearing Aid Specialists;26.40;54,910
Kentucky;29-2099;Health Technologists and Technicians, All Other;28.45;59,170
Kentucky;29-9021;Health Information Technologists and Medical Registrars;28.91;60,140
Kentucky;29-9091;Athletic Trainers;*;53,150
Kentucky;29-9093;Surgical Assistants;36.99;76,940
Kentucky;29-9099;Healthcare Practitioners and Technical Workers, All Other;38.48;80,040
Kentucky;31-0000;Healthcare Support Occupations;17.60;36,610
Kentucky;31-1120;Home Health and Personal Care Aides;15.74;32,740
Kentucky;31-1131;Nursing Assistants;17.30;35,980
Kentucky;31-1132;Orderlies;15.79;32,850
Kentucky;31-1133;Psychiatric Aides;18.42;38,320
Kentucky;31-2011;Occupational Therapy Assistants;32.09;66,760
Kentucky;31-2021;Physical Therapist Assistants;28.36;58,990
Kentucky;31-2022;Physical Therapist Aides;14.68;30,540
Kentucky;31-9011;Massage Therapists;31.25;65,000
Kentucky;31-9091;Dental Assistants;19.76;41,090
Kentucky;31-9092;Medical Assistants;17.83;37,090
Kentucky;31-9093;Medical Equipment Preparers;20.55;42,740
Kentucky;31-9094;Medical Transcriptionists;17.68;36,780
Kentucky;31-9095;Pharmacy Aides;15.88;33,030
Kentucky;31-9096;Veterinary Assistants and Laboratory Animal Caretakers;15.87;33,010
Kentucky;31-9097;Phlebotomists;18.76;39,020
Kentucky;31-9099;Healthcare Support Workers, All Other;21.39;44,480
Kentucky;33-0000;Protective Service Occupations;20.73;43,120
Kentucky;33-1011;First-Line Supervisors of Correctional Officers;25.96;54,000
Kentucky;33-1012;First-Line Supervisors of Police and Detectives;35.97;74,820
Kentucky;33-1021;First-Line Supervisors of Firefighting and Prevention Workers;31.57;65,670
Kentucky;33-1091;First-Line Supervisors of Security Workers;23.01;47,850
Kentucky;33-1099;First-Line Supervisors of Protective Service Workers, All Other;29.28;60,900
Kentucky;33-2011;Firefighters;18.41;38,290
Kentucky;33-2021;Fire Inspectors and Investigators;26.61;55,340
Kentucky;33-3011;Bailiffs;14.07;29,260
Kentucky;33-3012;Correctional Officers and Jailers;19.63;40,830
Kentucky;33-3021;Detectives and Criminal Investigators;37.91;78,850
Kentucky;33-3031;Fish and Game Wardens;20.61;42,880
Kentucky;33-3051;Police and Sheriff's Patrol Officers;24.78;51,540
Kentucky;33-9011;Animal Control Workers;18.04;37,530
Kentucky;33-9021;Private Detectives and Investigators;23.74;49,380
Kentucky;33-9031;Gambling Surveillance Officers and Gambling Investigators;17.67;36,750
Kentucky;33-9032;Security Guards;16.35;34,000
Kentucky;33-9091;Crossing Guards and Flaggers;15.62;32,490
Kentucky;33-9092;Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;12.64;26,280
Kentucky;33-9093;Transportation Security Screeners;24.39;50,730
Kentucky;33-9099;Protective Service Workers, All Other;20.01;41,610
Kentucky;35-0000;Food Preparation and Serving Related Occupations;13.84;28,790
Kentucky;35-1011;Chefs and Head Cooks;22.73;47,280
Kentucky;35-1012;First-Line Supervisors of Food Preparation and Serving Workers;18.00;37,430
Kentucky;35-2011;Cooks, Fast Food;12.03;25,020
Kentucky;35-2012;Cooks, Institution and Cafeteria;14.85;30,890
Kentucky;35-2014;Cooks, Restaurant;14.84;30,880
Kentucky;35-2015;Cooks, Short Order;15.01;31,220
Kentucky;35-2019;Cooks, All Other;14.03;29,180
Kentucky;35-2021;Food Preparation Workers;13.16;27,360
Kentucky;35-3011;Bartenders;15.93;33,140
Kentucky;35-3023;Fast Food and Counter Workers;12.05;25,070
Kentucky;35-3031;Waiters and Waitresses;14.00;29,120
Kentucky;35-3041;Food Servers, Nonrestaurant;14.65;30,470
Kentucky;35-9011;Dining Room and Cafeteria Attendants and Bartender Helpers;13.61;28,320
Kentucky;35-9021;Dishwashers;12.93;26,900
Kentucky;35-9031;Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop;11.85;24,640
Kentucky;35-9099;Food Preparation and Serving Related Workers, All Other;13.01;27,060
Kentucky;37-0000;Building and Grounds Cleaning and Maintenance Occupations;15.94;33,160
Kentucky;37-1011;First-Line Supervisors of Housekeeping and Janitorial Workers;20.05;41,710
Kentucky;37-1012;First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers;24.52;50,990
Kentucky;37-2011;Janitors and Cleaners, Except Maids and Housekeeping Cleaners;15.46;32,150
Kentucky;37-2012;Maids and Housekeeping Cleaners;13.61;28,310
Kentucky;37-2021;Pest Control Workers;18.57;38,620
Kentucky;37-3011;Landscaping and Groundskeeping Workers;16.77;34,890
Kentucky;37-3012;Pesticide Handlers, Sprayers, and Applicators, Vegetation;20.75;43,160
Kentucky;37-3013;Tree Trimmers and Pruners;18.98;39,480
Kentucky;37-3019;Grounds Maintenance Workers, All Other;22.35;46,490
Kentucky;39-0000;Personal Care and Service Occupations;15.65;32,550
Kentucky;39-1013;First-Line Supervisors of Gambling Services Workers;26.99;56,130
Kentucky;39-1014;First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services;21.43;44,580
Kentucky;39-1022;First-Line Supervisors of Personal Service Workers;20.40;42,430
Kentucky;39-2011;Animal Trainers;20.46;42,570
Kentucky;39-2021;Animal Caretakers;14.55;30,270
Kentucky;39-3012;Gambling and Sports Book Writers and Runners;14.66;30,490
Kentucky;39-3021;Motion Picture Projectionists;10.84;22,550
Kentucky;39-3031;Ushers, Lobby Attendants, and Ticket Takers;11.26;23,430
Kentucky;39-3091;Amusement and Recreation Attendants;11.67;24,270
Kentucky;39-3092;Costume Attendants;21.00;43,680
Kentucky;39-4011;Embalmers;23.90;49,710
Kentucky;39-4012;Crematory Operators;18.65;38,800
Kentucky;39-4021;Funeral Attendants;14.55;30,250
Kentucky;39-4031;Morticians, Undertakers, and Funeral Arrangers;21.97;45,700
Kentucky;39-5011;Barbers;17.65;36,710
Kentucky;39-5012;Hairdressers, Hairstylists, and Cosmetologists;23.41;48,700
Kentucky;39-5092;Manicurists and Pedicurists;20.35;42,330
Kentucky;39-5094;Skincare Specialists;26.47;55,060
Kentucky;39-6011;Baggage Porters and Bellhops;19.71;41,000
Kentucky;39-6012;Concierges;14.34;29,820
Kentucky;39-7010;Tour and Travel Guides;17.99;37,410
Kentucky;39-9011;Childcare Workers;13.22;27,510
Kentucky;39-9031;Exercise Trainers and Group Fitness Instructors;21.95;45,660
Kentucky;39-9032;Recreation Workers;14.22;29,580
Kentucky;39-9041;Residential Advisors;13.44;27,960
Kentucky;39-9099;Personal Care and Service Workers, All Other;12.90;26,830
Kentucky;41-0000;Sales and Related Occupations;21.38;44,470
Kentucky;41-1011;First-Line Supervisors of Retail Sales Workers;21.34;44,400
Kentucky;41-1012;First-Line Supervisors of Non-Retail Sales Workers;41.33;85,970
Kentucky;41-2011;Cashiers;12.54;26,090
Kentucky;41-2012;Gambling Change Persons and Booth Cashiers;16.79;34,930
Kentucky;41-2021;Counter and Rental Clerks;17.84;37,110
Kentucky;41-2022;Parts Salespersons;18.07;37,580
Kentucky;41-2031;Retail Salespersons;16.50;34,320
